TV,Radio,Newspaper,Predicted_Sales
96.2,14.8,1.6,11.759500000000003
199.8,2.6,1.3,16.603
281.4,39.6,1.7,22.974500000000003
218.4,27.7,1.7,19.082499999999996
175.1,22.5,1.5,17.091999999999995
57.5,32.8,1.4,10.436000000000002
216.4,41.7,1.6,21.789
28.6,1.5,1.5,7.687999999999993
59.6,12.0,1.6,9.496000000000008
287.6,43.0,1.9,25.34500000000003
237.4,5.1,1.4,17.242499999999996
293.6,27.7,0.3,20.118500000000026
137.9,46.4,1.8,16.83300000000002
140.3,1.9,1.0,11.582999999999993
110.7,40.6,1.8,15.259500000000008
197.6,23.3,1.2,18.462999999999994
229.5,32.3,1.9,19.930500000000006
217.7,33.5,1.8,19.484499999999997
296.4,36.3,2.0,22.623500000000003
97.5,7.6,0.9,11.570000000000004
13.1,0.4,1.4,6.720999999999999
16.9,43.7,2.0,7.192000000000003
202.5,22.3,1.5,18.83099999999999
283.6,42.0,1.8,24.433500000000016
75.5,10.8,0.8,11.378499999999999
17.2,4.1,1.5,6.8820000000000014
149.7,35.6,0.8,15.851000000000006
76.4,0.8,1.2,11.813500000000001
17.2,45.9,1.8,7.2090000000000005
265.2,2.9,1.6,16.939
147.3,23.9,1.3,13.380999999999998
104.6,5.7,1.5,11.777000000000008
243.2,49.0,1.6,24.345
13.2,15.9,1.7,6.779000000000002
280.2,10.1,1.3,18.065499999999993
53.5,2.0,1.3,9.322
25.6,39.0,1.0,7.863999999999997
215.4,23.6,1.8,18.554499999999994
43.0,25.9,1.3,10.172500000000008
262.7,28.8,1.2,19.517
248.4,30.2,1.3,19.515500000000007
241.7,38.0,1.4,21.789499999999997
78.2,46.8,1.5,13.995
204.1,32.9,1.7,19.033
25.0,11.0,1.5,7.699
193.2,18.4,1.8,19.314999999999998
206.8,5.2,1.3,16.98650000000002
38.2,3.7,1.1,9.822499999999996
142.9,29.3,1.1,15.089000000000006
48.3,47.0,0.9,11.382
